peak,outlier_method,n,mean_error_ms,median_error_ms,std_error_ms,p95_error_ms,within_20ms_pct,within_50ms_pct,outliers_removed,outliers_removed_pct
P,all,3796,30.464699683877765,20.0,29.129684732281568,88.0,51.31717597471022,73.1559536354057,0,0.0
P,threshold_200ms,3796,30.464699683877765,20.0,29.129684732281568,88.0,51.31717597471022,73.1559536354057,0,0.0
P,threshold_150ms,3796,30.464699683877765,20.0,29.129684732281568,88.0,51.31717597471022,73.1559536354057,0,0.0
P,threshold_100ms,3796,30.464699683877765,20.0,29.129684732281568,88.0,51.31717597471022,73.1559536354057,0,0.0
P,threshold_80ms,3489,25.0237890513041,12.0,23.543809901301,68.0,55.83261679564345,79.59300659214674,307,8.087460484720758
T,all,4524,26.90450928381963,16.0,30.043391652162207,96.0,58.687002652519894,82.51547303271441,0,0.0
T,threshold_200ms,4524,26.90450928381963,16.0,30.043391652162207,96.0,58.687002652519894,82.51547303271441,0,0.0
T,threshold_150ms,4524,26.90450928381963,16.0,30.043391652162207,96.0,58.687002652519894,82.51547303271441,0,0.0
T,threshold_100ms,4524,26.90450928381963,16.0,30.043391652162207,96.0,58.687002652519894,82.51547303271441,0,0.0
T,threshold_80ms,3980,17.656281407035177,12.0,17.661656740956747,56.0,66.70854271356784,93.79396984924622,544,12.024756852343058
