subject,n_intervals,mean_rr_ms,std_rr_ms,cv_rr_pct,min_rr_ms,max_rr_ms,range_rr_ms
sel100,66,759.2121212121212,97.46662445873073,12.837864640928052,668.0,1436.0,768.0
sel102,65,830.0923076923077,25.52207073641471,3.074606341958181,768.0,884.0,116.0
sel103,65,856.0615384615385,36.245265759004006,4.233955636430271,784.0,936.0,152.0
sel104,62,811.8709677419355,27.488111137402388,3.3857733838981012,720.0,852.0,132.0
sel114,47,1104.7659574468084,40.3781132867044,3.654902019249493,1012.0,1204.0,192.0
sel116,51,791.6862745098039,141.00111113400024,17.81022554942048,720.0,1496.0,776.0
sel117,31,1172.9032258064517,22.322207716444815,1.9031585236792885,1136.0,1228.0,92.0
sel123,11,1237.8181818181818,121.16241405036628,9.78838538891032,1028.0,1420.0,392.0
sel14046,28,979.1428571428571,350.89332061038095,35.836785005437214,448.0,1472.0,1024.0
sel14157,69,835.8840579710145,6.671453857769649,0.7981314865561165,824.0,856.0,32.0
sel15814,33,892.3636363636364,114.89911732704667,12.875817956372385,700.0,1148.0,448.0
sel16273,74,760.3783783783783,84.55458858881875,11.120067454987893,580.0,864.0,284.0
sel16483,65,843.9384615384615,25.146877416231668,2.979705104373375,792.0,912.0,120.0
sel16539,58,993.2413793103449,115.93864464549961,11.672756196082101,824.0,1340.0,516.0
sel16773,64,912.0625,56.504390039624354,6.195232238977521,760.0,1084.0,324.0
sel16786,52,1023.3076923076923,70.04930638802777,6.845380613728942,924.0,1380.0,456.0
sel17152,104,563.7692307692307,7.581899966406292,1.344858774229524,536.0,588.0,52.0
sel213,101,559.8811881188119,94.9704786990723,16.962612910458905,512.0,1108.0,596.0
sel221,18,890.0,241.20530674095875,27.10171985853469,660.0,1404.0,744.0
sel223,28,967.0,336.19828333036696,34.767144087938675,568.0,1444.0,876.0
sel230,56,876.6428571428571,54.009400164438496,6.16093540537879,772.0,1040.0,268.0
sel231,29,946.3448275862069,46.33333190760113,4.896030554293954,860.0,1032.0,172.0
sel233,77,758.7012987012987,274.3007670013596,36.15398674958009,400.0,1468.0,1068.0
